"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60"
"1",NA,0.481162806282808,0.480089191090466,0.481849162196152,0.480429329725756,0.483965557167877,0.481905268927079,0.480083672340373,0.482631406574191,0.48306889297675,0.157675684614356,0.158748434212969,0.156232198683209,0.15696363988129,0.154744283619713,0.156885672464713,0.158179169603483,0.156647722396282,0.157562567632788,0.156152799086431,0.154300971875679,0.157206288110287,0.158332157719771,0.15666973544471,0.159639030549082,0.158472913619572,0.155515111882659,0.156290722201308,0.158858655000842,0.158476697984728,-0.27441555051222,-0.276181583243022,-0.275099521991153,-0.277195495159152,-0.276815008907261,-0.27622986420999,-0.277745733404997,-0.273766748032978,-0.277146616958721,-0.275206212110966,-0.275583986011423,-0.275445739977964,-0.276927673148401,-0.276073557732173,-0.273221950950023,-0.274930391742605,-0.276068563889541,-0.277564559858882,-0.276689632266409,-0.275854239706634,-0.27587389606798,-0.277183828446505,-0.275465572432618,-0.277852491758591,-0.277169572460798,-0.27725146701712,-0.277593718846112,-0.276568100746795,-0.274469141103596,-0.277733971269079
"2",0.46771474938261,NA,0.48127089932999,0.482396036734197,0.481450163334765,0.480978592683506,0.482235786203403,0.480671570539977,0.483007488690267,0.481167649568134,0.155915361235918,0.157032394492335,0.157279413336785,0.157084816956145,0.156259538090663,0.156431389456733,0.158337082063753,0.157092628520246,0.155254590606043,0.156779025099416,0.157131242491206,0.158212984384142,0.155782386105084,0.15794399476266,0.158153824486006,0.157156393372617,0.158124532945133,0.156090084297768,0.157602277385269,0.158314720398781,-0.274466790010698,-0.273665399025282,-0.276242408821693,-0.276984293580655,-0.276464466167806,-0.274523408603502,-0.275730451992097,-0.277388030901102,-0.275488968002057,-0.276061964900694,-0.277470321531006,-0.274462621708931,-0.277660900347991,-0.276495541405493,-0.271275846324081,-0.276745020308974,-0.274638571009321,-0.277251810977083,-0.275933403139219,-0.276838008595985,-0.277196056866353,-0.278334809070529,-0.276378198249662,-0.277394069265906,-0.278698379844327,-0.276194875631758,-0.277653737442047,-0.276055122885953,-0.273854073465642,-0.277009318846169
"3",0.466615674566646,0.467826263325513,NA,0.480261030213335,0.482285472704051,0.481305491411392,0.483098351131971,0.480907381698115,0.480382115385588,0.481046387219296,0.154935520097038,0.158167917999016,0.156950605646405,0.160412980764365,0.156326959958905,0.157069002827541,0.1585227758935,0.154545343333691,0.155617090871662,0.158175763685286,0.157948757519433,0.157234924621198,0.156064280681392,0.157099044313289,0.158757681269458,0.157020719712559,0.157359802112465,0.153887748318474,0.157134338898275,0.16032038825691,-0.275251994556387,-0.275324205840493,-0.275688801484385,-0.275755272977917,-0.275152100833893,-0.274484427539644,-0.277684568740258,-0.275057917268574,-0.276348940133147,-0.275466661961079,-0.277534189796958,-0.274436742298014,-0.277627873138916,-0.275277834873182,-0.274097908867365,-0.275755300317583,-0.274438044277393,-0.277942406052197,-0.275435331235713,-0.275633907273302,-0.27784168395325,-0.27665285142598,-0.276821450923799,-0.276917960123169,-0.276585515490211,-0.276989156191178,-0.276007151110338,-0.275468821149091,-0.274965840081171,-0.278336983415242
"4",0.468362051312307,0.468937792517334,0.466777315927358,NA,0.481549160077223,0.484128170528876,0.483409836060683,0.48215486825301,0.483542640795357,0.480679886878387,0.156113275808113,0.156278488243007,0.157094915840619,0.157079586535642,0.156744102935097,0.15614255250213,0.157489963901552,0.157437402864946,0.155483564430089,0.156934777521055,0.156251534329823,0.156342713732362,0.156192148213904,0.157244054064787,0.159096571413048,0.157635926880934,0.159504901274281,0.154607042104469,0.15695136155181,0.159027745470854,-0.274160850564261,-0.275954765594774,-0.276931395997882,-0.276015084516914,-0.275132767597585,-0.274759159626422,-0.276822072494331,-0.275002845844026,-0.275202803602755,-0.274653893490356,-0.277428819484381,-0.275956750411895,-0.276938688030803,-0.275319131896823,-0.275644930279688,-0.276240649911516,-0.276280833144955,-0.277881983242209,-0.274491584128036,-0.275869334888904,-0.278656595032642,-0.277734285708852,-0.275537275427331,-0.27512714532227,-0.278087444559674,-0.27713750224932,-0.276033262478856,-0.27636152315335,-0.277534906208005,-0.277406896618539
"5",0.466965749414206,0.468015468341858,0.46882532729398,0.468075367365746,NA,0.482593405664156,0.483259661188839,0.480709207109879,0.481297241623705,0.481463802460465,0.157197629833249,0.156900147137329,0.157215981242328,0.159586508128529,0.155046723348984,0.156772534395422,0.158909181845438,0.157223255048574,0.158426683401755,0.15607782609294,0.155945465364636,0.155477527824877,0.155591791986561,0.157739784426963,0.15892524919154,0.157016074025312,0.157709911539423,0.155715333112341,0.156256099469399,0.158687380972052,-0.274420314778768,-0.278492057699114,-0.275712343004015,-0.278118105732678,-0.276630639165126,-0.276323397012422,-0.277283508749664,-0.276378575729813,-0.276422658485807,-0.274301341570886,-0.276499864760287,-0.27404783618846,-0.276782922952577,-0.275837363883207,-0.272702562432481,-0.275447919722149,-0.273091313976547,-0.277545619554278,-0.276327834331813,-0.276129214365874,-0.277730526614627,-0.276838516255751,-0.275260807047573,-0.276547382622741,-0.276766919273506,-0.276130465928806,-0.276418123317656,-0.277705950941016,-0.276040864021541,-0.27696211178202
"6",0.470518858386272,0.467560760116653,0.467862234192546,0.47067125762127,0.469160118104384,NA,0.482994761032526,0.480601930071845,0.481926107601907,0.483203271828255,0.156805797276433,0.158674975636747,0.158298580527984,0.158682046974064,0.156234299496743,0.157747992376709,0.159432368866738,0.156646591470929,0.156138194711948,0.156033077513918,0.156811529235228,0.157427292924769,0.157400808082133,0.157700209132518,0.158948152423977,0.157730151087649,0.157670766519608,0.155981131869416,0.156960393855232,0.15815895042129,-0.276149006022512,-0.275245818557469,-0.27595117786431,-0.277749248191313,-0.275997462363502,-0.275864923338501,-0.27705616809751,-0.277690939994302,-0.275874157320106,-0.276365209607906,-0.277303577672531,-0.277689122334419,-0.277765389409115,-0.277541676494676,-0.273353801401426,-0.276374688179873,-0.277390339062282,-0.278742193626804,-0.276172108322719,-0.275851449347514,-0.27536482649884,-0.278134945044258,-0.277384086246646,-0.277235308664781,-0.278139259366767,-0.275789766751446,-0.27743499389926,-0.276299198995573,-0.275484666052448,-0.277779754693162
"7",0.468438824079421,0.468798242352713,0.469635348025818,0.469933168546583,0.469806635502509,0.469558635749857,NA,0.482507445733377,0.481381837971174,0.481875946444829,0.156392160400355,0.157564338991174,0.157444716648265,0.157302519397348,0.158819283331048,0.156640177032576,0.156419025833898,0.156631925129907,0.1568141307954,0.157041803496528,0.158295629052717,0.156647088717282,0.154932829227894,0.15977343444445,0.159855028908762,0.158336279417618,0.156737333110848,0.154833553056232,0.158984329759672,0.158577030688126,-0.27475528833353,-0.276276273208245,-0.275573870496172,-0.277031976396115,-0.276427895874031,-0.277761013052581,-0.278209959740412,-0.277298171342055,-0.276826591918608,-0.272838661764048,-0.276827810792037,-0.276182515693112,-0.278740175624601,-0.275804482581816,-0.274935890913156,-0.27691903359394,-0.276278519965362,-0.279068205375382,-0.275577408316353,-0.277233892223751,-0.276150331052824,-0.276879792331651,-0.277823212956283,-0.276694419931491,-0.278257432736671,-0.276156200521383,-0.277539658584851,-0.277755015758777,-0.274604052023769,-0.277337615882724
"8",0.466578818886256,0.467195578355433,0.467405901514135,0.468639866694222,0.467217622328553,0.467127221648242,0.469012968018572,NA,0.481531687792273,0.480988332127903,0.157428716318351,0.157857686814441,0.156993678625556,0.157587367893724,0.154862033906136,0.156283626681542,0.158020581025927,0.156966250088674,0.156301862936305,0.156686636569877,0.157981877986556,0.15660699055626,0.154686006566518,0.160678838870854,0.15851052075523,0.159583984811842,0.15508568655648,0.155865546693058,0.156722485924103,0.158161003132192,-0.274340164701138,-0.277025503576772,-0.275995064940873,-0.277825362463992,-0.276546737594882,-0.275445624620634,-0.275800593870806,-0.276024680893772,-0.277026874776538,-0.275204208293217,-0.277697581808526,-0.275697018644713,-0.276162811051155,-0.274889936064882,-0.273161531885123,-0.274834712398743,-0.275621662808178,-0.277291689088843,-0.274996528861876,-0.275807005782874,-0.275236814589514,-0.278324880152201,-0.274740575460364,-0.276181514054742,-0.27710268976534,-0.275210579672909,-0.27449547430114,-0.276900322409928,-0.275896406276114,-0.275669132951718
"9",0.469162710308043,0.469567632730413,0.466916819444699,0.470063775785768,0.467841865514931,0.468487595969847,0.467923595303072,0.46803510820735,NA,0.482001024899344,0.157422726312164,0.158329367906874,0.158360040240873,0.158690108177817,0.157752936076084,0.157697215786795,0.158717545346256,0.156880865955804,0.15686844387848,0.157640041101404,0.155455276672708,0.157376725365058,0.15818240876762,0.157834797976012,0.160474690337391,0.157418184723535,0.156950920909914,0.155236591316327,0.157078684945939,0.160003034404712,-0.274116969844438,-0.276852406171895,-0.27866693484754,-0.277191802786103,-0.277176971161262,-0.275201743708163,-0.276477370721411,-0.277290015564743,-0.275390795228249,-0.275845820544702,-0.276499223992202,-0.275979600486896,-0.274994387386635,-0.276426876537987,-0.275513199960546,-0.276462944746821,-0.277319839908681,-0.278779658829439,-0.275385637372721,-0.275300336466308,-0.276779106035739,-0.278397645753952,-0.276381755156675,-0.277175875150485,-0.279843389972183,-0.276430940666094,-0.277278548697761,-0.277866033976915,-0.274528142712719,-0.278226693955242
"10",0.469591525490528,0.467719208842511,0.467572465754299,0.467192286462596,0.467999868607917,0.469756253460622,0.468409166646741,0.467482903571202,0.468531865327449,NA,0.15591290147243,0.156954425490327,0.155401272007707,0.1576485586299,0.157040980787016,0.155793520589536,0.158420120350315,0.159425272095518,0.155822821328232,0.154988456810122,0.157648530512103,0.158191238686055,0.156465340998091,0.158123586174537,0.158166164352359,0.156356580481975,0.1576689248726,0.152923151432162,0.157024500111106,0.157602284579475,-0.276432068045729,-0.275623143035357,-0.274273270833792,-0.277825341680627,-0.275563384099114,-0.273709406133674,-0.275871551307136,-0.273902420209072,-0.276509763489643,-0.276810026137951,-0.277735651741774,-0.276163279459772,-0.274530165136875,-0.275976288635911,-0.273062720347579,-0.275377277750364,-0.277549415650853,-0.278433369017628,-0.274482655913276,-0.276446384992899,-0.27662181439459,-0.277508036816751,-0.277361853292311,-0.274697052487898,-0.277593037612816,-0.277276843708882,-0.275587973359987,-0.278477735140048,-0.274448104583477,-0.274831722826012
