"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90"
"1",NA,-0.00347727080440197,-9.75238136706365e-05,0.00123130348479328,-0.000173118529204621,-0.00356487563621789,-0.00288966957550089,-0.000482024125054652,7.93615860362092e-05,-0.00179567518007593,-0.00381602281023929,-0.00251256081712149,0.000651613753296958,0.000750814875419246,3.67679763334447e-05,0.00137002697055199,-0.000838220747485657,0.000563108780263347,-0.00115177830887241,0.00208563030861817,-0.000417904590126847,0.000121739730823836,-0.00248040282252238,-0.00173868583341048,0.000185258804343664,-0.00243397231917157,0.000124869793635921,-0.00101795726754353,-6.29143564205847e-05,-0.00209104657955518,0.000722000016636496,-0.000281589651653861,0.000265702989621939,0.000347935208106504,-0.00152452219625185,-0.000194758981606009,-0.00105954187563752,-0.00187043835343337,6.50892234325372e-05,-0.000912376178016284,-0.000717629833945763,-0.00151871199472864,0.000777903736543656,-0.000458968428283338,0.00350327948636972,0.00327458279322012,0.00231176005860516,0.00300705357468261,0.00281378334573861,-0.000319616041616505,-0.000674164419305581,-0.000177378100822998,-0.0014064743118918,0.00190848808523176,-0.0022760382949999,0.000487587628864071,0.00276093409258073,-0.000283096089732668,-0.00416901585887673,-0.0008354928335983,-0.00188198424457297,0.00186687124011664,0.00118854448655204,-0.000841405703101844,-0.00092844428764564,0.00090073022641606,-0.00098140449848659,0.00031292653445002,-0.000149809535360156,-0.00156418531682889,-0.00284107796968117,-0.000466863979969596,-0.00209818341153184,0.00285441720282582,0.0021868709638277,0.00174075782873495,-0.00113252567801159,0.0010796945742358,-0.000226890120462807,-0.00222421998956873,0.000632956223766204,-0.00202476123544509,0.00144243742755901,-0.0018955947279663,0.000173931207913154,0.00367571034622369,-0.00106286948430419,-0.000328210231397418,-0.00202976976257253,-0.000954572056656607
"2",-0.00347727080440197,NA,0.00154044417035919,-0.00150021871419637,-0.000568928146084492,0.00186623428298234,-0.00134956484605728,-0.00257795220898855,0.00153945189344138,-0.00311425965989118,-0.00157365296890983,0.00127484147716787,0.00150222030558033,0.00137835547507371,-0.000760512192141325,-0.00268940536194168,0.000723579594411959,-0.00158049456924067,-0.00238035746577421,-0.000213079291363345,0.000903311276455236,-0.000982656709031415,0.000942158804205094,-0.001861338668887,-0.000512708353595326,-0.00115920746524677,-0.00186474600362492,0.000695212336519802,-0.00109858281384577,-0.00126954790075638,-0.00197510781323742,-0.00232786292151392,0.00264606484630699,-0.00274713726770103,-0.000322982879666416,-0.000153747756535712,-0.00189161140966594,-0.000998311295325541,-0.00172871407431994,0.000902021049214195,0.000543684630708573,0.00158074944230034,-0.00106506026127556,0.00275871013405596,0.00290663028130321,0.000839988401016353,0.00156576963623306,0.00254549736464098,0.000184081240976261,-0.00337730568318514,-0.00110675589180802,-0.000470306334448448,0.00142085853764619,-0.000572196560008094,-0.000161633454935575,0.00363812536229358,0.00110023019715618,-0.000303183415230536,0.00171520539730943,-0.00057119227681552,-0.000672528680230555,0.00142395101806317,-0.00146615814682804,-5.21740068380253e-05,-0.000269095121542547,-0.000339541697921161,-0.000454185076505915,0.00201713217974822,0.000879720394517726,0.0031381555654852,0.00149603175038037,-0.00156912396876239,-0.000377238123688103,0.00040999125020149,-0.00323107234693507,0.00127056228669686,-0.00323941879444975,0.000516484127670726,-0.00287763883480941,-0.00080453883540707,0.00118444366374866,0.00102200752391114,-0.00160287675151092,-0.00271878383452051,-0.00117386680822384,-0.00559510260637784,-0.000653926026739762,0.00175914088404342,0.00098746486676219,-0.00081454025866512
"3",-9.75238136706365e-05,0.00154044417035919,NA,-0.00377360827312556,-5.15852224603174e-05,0.000524183033047271,0.000239857580923094,-0.000139580982589989,-8.14061477442743e-05,-0.000929697990649868,-0.00110042044144179,0.000735813458376047,0.00191426975792554,-2.98140200439001e-05,0.000383986569411472,-0.00249365768770874,-0.00164500439896536,0.00284916914726597,0.00175008082769931,0.000592627827799445,0.000333898525349648,-0.00112224969441835,-0.000211159933597202,0.00121862286584828,-0.00193994812213488,-0.00169502030940696,0.00028587564739387,-0.0013191520094046,-0.0024166468293299,-0.00122179670207238,-0.00133298062753926,-0.000695545722638837,-0.000919436778479545,-0.000512208500310216,-0.000532721577978684,0.00112059802529388,0.00147446582929304,-0.00214197168101972,-0.00355569715323364,-0.00103966435004016,0.00322839896683793,0.00244991821451874,-0.000480684317215471,0.00175268823125932,-0.000299062085799494,0.000757352678841861,0.00260987156923974,-0.00185945083522372,0.001184757770381,0.00225346534588607,0.00213536870792417,0.00494438912366013,-0.00135118766756765,-0.000827355153683247,-0.000455186305977661,0.000610863819479309,-0.000513866518518378,0.00271547476883205,-2.86571739545102e-05,0.000440859924122114,-0.00352943781421913,-0.00086976301508427,-0.00147340890861323,-0.000252297372257133,0.00332664283322653,-0.000226199543288064,0.00233781331108524,0.000457132723275314,0.00126096342966996,-0.000438612452609798,-0.00117904855230494,-0.00243437134338163,-0.00276024062000059,-0.000314993751061171,-0.00464418360385489,-0.000540853594914043,0.00250222534325272,-0.00404574632428786,-0.00130039486841127,-0.000506860805431244,6.72261184858879e-05,-0.00231320411431936,-0.00135355418324489,0.00352649191119474,-0.00403118038104824,-0.00362360238288573,0.000124323732126053,-0.000919185984020798,-0.0047195152817451,0.000906785584365532
"4",0.00123130348479328,-0.00150021871419637,-0.00377360827312556,NA,-0.00105844059234833,0.000724204082029768,-0.00154412502858307,-0.000901340231405343,0.00100996067050937,-0.00195045770225449,-0.00038774076308077,0.000561146646190242,-0.000471145881780776,-0.000402020255188887,-0.00347907417358044,-0.00140557822868697,0.00176684686145084,-0.00133481353451313,-0.00191873650071422,0.00244454623667176,-0.000864108767693945,0.002553196687623,0.00101689887107866,-0.001615372072635,-0.00181988258388687,-0.000477698553565074,-0.00176491905128813,-0.0009854628137589,-0.00154036987586368,0.000890085002212778,-0.00299986465183157,-0.000207527970165584,-0.00172064762354876,-0.00392337530888454,-6.22774737107845e-05,-0.00262522276443146,-0.00105554200478259,-0.000736919928733897,0.00131080545510691,0.000758936152493337,0.00225401344188128,0.00280331776893447,0.000183036675896588,0.000433636802864759,-1.45738851094826e-05,0.00077305633158709,-0.000759768681140735,0.0022296252637758,0.00447036432409228,0.00190723668556048,-0.00143739188881676,0.000804600519260505,0.000625147330272465,0.00138118808025015,0.000156299566365531,-0.000760618441856925,0.00237626942879231,-0.00294487096358628,0.00153342104681706,-0.00191954124082426,0.00122275429787863,0.000634598169266689,-0.000605901081738178,0.00183474402118425,0.00137071452051638,-0.00127215888154146,-0.00243806109271415,-0.00178491179138309,-0.00368579798974076,0.00100991264709568,0.000481397862533477,-6.73777599749584e-05,-0.00174821382255076,0.00100762845766473,-0.000907108337152459,-0.000235707298521855,0.000848512019895054,-0.000257287663500753,-0.0019854511076678,0.00147598741052903,-0.00121619949641691,0.00226698740752516,-0.00392273890354657,-0.00251898044288058,-0.000821573045129174,0.0028236547828559,-2.28081482701627e-05,-0.00255339877296255,-0.000335936225846274,-0.00128286071457568
"5",-0.000173118529204621,-0.000568928146084492,-5.15852224603174e-05,-0.00105844059234833,NA,-0.00479146779763845,0.0022107990104719,-0.00193612713995162,0.00172001663945002,0.00111081388260046,0.000639601633356211,-0.000390851153739012,0.00127547086773632,-0.0030479075151859,0.00186546288457201,-0.000179685788578614,0.000391879425773078,0.00268998762489527,-0.00399391083547094,-0.000113935053355892,0.000421529832196698,-0.000624363382758032,0.00122926991616867,-0.00254804178210943,-0.00147300538625981,-0.000348205811614653,0.000369086094532476,-0.00156057643468177,0.000691500624951408,0.00121538078969325,0.000715637455045237,-0.00507707482623413,0.000488971618279216,-0.00267312802488575,-0.000522583374958864,-0.00128407774586336,-0.000222886072363344,-0.00164290728091789,0.000577324090837521,2.34928269288127e-05,0.00136718698201724,0.00181507793067935,0.00043373426405853,-0.000213551306101402,0.0013660954535295,0.0017104792381838,0.00195782540906901,-0.000798451415145117,0.00135721466670691,0.00143642509214853,0.00186519463709625,-0.000884658031623013,-0.000855460810610704,0.00170686410662702,0.00111180752405147,-0.0015990803885031,-0.000821418040346382,-0.000269961605059543,-0.00147834019435146,-0.00130818766967465,-0.000108291530818174,-0.000289804087549805,-0.00527875070324991,-0.000942767645297184,0.000730829896074698,-0.00381367772975927,-0.00157883171681902,0.00178493502337601,-0.00347380928649221,0.00154985980242684,0.00113404208248401,0.000749797950607461,0.000741257209783748,-0.0018434424055224,0.000406225642773761,-0.000293488734698939,-0.00496313806063976,-0.00249303089022823,0.000268668829426291,-0.00163534993250919,0.00037663769141872,-0.000304264042151444,0.00251425245527737,0.00225291607633605,0.000614487285378405,8.87565969559384e-05,-0.000682813005991736,-0.000473982906667905,1.30088770076038e-05,0.000517953298234244
"6",-0.00356487563621789,0.00186623428298234,0.000524183033047264,0.000724204082029774,-0.00479146779763845,NA,-0.00271084211099092,-0.00125924898032297,-0.000841416444828914,0.00141195395719896,-0.00115688896234518,0.0014129498976124,-0.00289437247715092,-0.00170862990320889,0.00127127070371682,0.000422904744470865,0.000910127914322885,0.00122747859353221,0.000934401051866415,-0.00287885544533351,-0.00142458759629407,-0.00231583906212704,0.00067743025600282,-0.000271145179224105,-0.00202632116762114,0.000510074539892791,-0.00356607219301887,0.000589851352438146,0.000743376540734692,0.000418034811355845,-0.00113709498057131,-0.00159195386593196,-0.00180436432622469,-0.00018244526168727,-0.00192145915781239,-0.000303686969402717,0.000695856692719483,-0.000478904722323692,-0.00222191830521892,-0.00133299087308556,-0.000730393594634853,0.002426504128268,0.00442503360961425,0.00274461207468204,0.00202023871897384,0.00213403871945255,-0.00102403593849975,0.00202923511672303,0.00323546541788484,0.000712603608283126,0.000321193248212996,0.00137553019296847,0.00146333212576003,-0.00224852784156289,0.00207527389722932,0.000638871954669011,-0.000185396003267179,-0.00213385606797989,-0.00114982041796704,-0.00196426697555644,0.00230920429934997,3.48224228743227e-05,-0.00154868451968098,-0.00120582846856759,-0.00158654391379643,-0.00177665410470755,-0.00241954174218646,0.000645647583644425,0.000747339182075877,0.000579411357662827,0.00250568328152619,-0.000588321260156045,-7.49959322404008e-05,-0.0026656363450447,-0.00332043198377869,-0.00151168401503267,0.00100969768509947,-0.00251538526525482,-0.00137705144854165,-0.000746717543163879,-0.000416277958119833,-0.000429238926072609,-0.00114378897583824,0.000111626125768739,-0.000639396174699013,-0.000159553549056262,-5.26127048492003e-05,0.000618283742802674,0.00155091016693423,0.000441506711838225
"7",-0.00288966957550089,-0.00134956484605728,0.000239857580923087,-0.00154412502858307,0.0022107990104719,-0.00271084211099093,NA,0.00233541376385529,-0.000636215052559154,-0.00266118780960484,0.000538330640519787,-0.00105093747746757,0.00117797075086329,-7.14256447269593e-05,-0.00221348600177616,0.000588323978676746,-0.000262028069581373,0.000846102608040335,-0.00180018136166988,0.000432218082614372,-0.000626942705823611,-0.00142337044938273,0.00112422710293283,-0.00117564292087929,0.000349289024770093,-0.00235716539156688,0.00281204087359162,-0.00295013455047594,0.000277180033874432,0.00256066269768884,-0.00165921080956823,0.000309233244495189,0.000192620355764595,-0.00167106745091152,-0.000984186217914153,-0.00176479521559733,0.00115511220958727,5.83341354317155e-05,-0.00348348213643004,0.000467291617525157,-0.00226071193031364,0.00356829223767667,0.0018646516187038,-0.00146884531115449,-0.0013597817886554,0.00497370122565525,-0.00177099038789891,-0.00181059119448143,0.00100228773887637,-0.00147787766193657,0.0018876258542298,-0.00244522789765566,0.00137682602935571,0.00186587281950031,-0.00306768551647712,0.00264377721284576,-0.00354282220738991,0.000321310001663477,-0.0010637523589385,-0.000719185961432015,0.00130913301993717,-0.00317659885093652,0.00118105281155374,-0.00023444074052548,0.000939657408617312,0.00118198323639012,-0.00142448269711929,-0.00130759366206738,-0.00300450476571797,-0.00148898823099405,0.00281493009790248,0.00248513058995418,-0.00235046225315948,0.00259070081932802,0.00385440835843706,-0.0026960525346975,0.000575426125394005,-0.00162508182617299,0.00121222980761107,-0.00266173176841933,-0.00119146713700731,0.00128228329503799,-0.00184762352655506,0.000465525118546719,0.00207981195139588,-2.80711885853463e-06,-0.000964875156531493,-0.00145973692980516,5.85381954368233e-05,-0.00110171190770625
"8",-0.000482024125054652,-0.00257795220898855,-0.000139580982589989,-0.000901340231405343,-0.00193612713995162,-0.00125924898032297,0.00233541376385529,NA,0.00109235509779409,-0.00103565405088988,-0.000282448754785777,0.00318038675944411,-0.00132288158779988,0.000717151649327702,-0.00415190264653394,-0.00410319054050719,-0.0014595697998929,-0.00031572870552123,-0.00225431914434558,-0.00133644289750072,6.38535202399917e-05,-0.000723358226004715,-5.63232940863998e-05,-0.00289579008822134,-0.000407766967961749,-0.00213440010638641,0.000309126940130478,-0.000811914174735165,0.00118976869072763,-0.00187175377439474,-0.000429665403035301,-0.00304504006161795,-0.0019971921634991,-0.0039204084734411,0.000695668909843242,5.51873202169189e-06,0.00109042976915649,-0.00282355158424477,0.000508400845008864,-8.96575617187608e-05,0.00203415627106522,0.0033380541938016,-0.00298899692812903,0.000654800071779169,0.00132304631584462,0.00126654591220278,0.00355222885721294,0.00140258212091206,0.000663010557551192,0.00179125120029819,0.00416437682677979,0.00128503502057666,-0.00191522668417826,0.00187445403122224,-0.00143790966980277,-0.00360913579803608,0.00133682687097222,0.0003939350002438,0.000438127292186116,0.00312155245473893,-0.000838191451405592,-0.00258276492256683,0.0014722216797613,0.00048073091959484,0.00207860479228163,0.000385710161709778,-0.00193309506864475,0.00037161652530885,0.000530137894281215,0.00105886581551134,0.000328897979836949,0.000147669172718648,-0.000479810878724077,-0.00304215485364991,-0.00140964887379521,-0.000682302602130543,-0.00213596308900594,0.0035892957884303,-0.00029854291059778,0.000703113108281365,-0.00230451816052871,-0.00124616102866113,0.00096789192372683,-0.00322420102656297,0.000162969724420051,0.00190621487070035,0.000506031060648015,-0.000529695465327138,-0.000674527135085097,-0.000678352841338346
"9",7.93615860362092e-05,0.00153945189344138,-8.14061477442743e-05,0.00100996067050937,0.00172001663945002,-0.000841416444828914,-0.000636215052559154,0.00109235509779409,NA,0.00206423829706929,-0.00668316045639854,-0.000718065014435543,-0.000815137906804524,0.000840317173248485,0.00086052782097662,0.000948925742535522,-0.000327440742648739,-0.002281864631263,-0.00150428646380396,-0.0049810765443869,0.000683508004726904,-0.000295819381101386,-0.00194607320507398,-0.00177019509981222,-0.00171153488598381,-0.0019650508693167,0.000718017927888122,-0.00053063011034595,-6.81464416553978e-05,-0.000239639510582127,-0.00160557509408373,-0.000974266231869114,-0.00263531878721744,0.00273693365121367,0.000910006951242749,-0.00237610602638875,-0.000313893291930907,-0.000811022809249992,-0.00292153789362614,-0.000247352688952071,0.000671649988786144,0.00367026352325862,0.00132473052700453,-0.000764486130812961,0.00111662316087615,-0.00114308180416292,1.33319460743717e-05,0.00155786311737136,-0.000457596111346248,0.00336814901665025,0.000969851788058383,0.00163156538598863,0.00332515087337749,-0.00164942307909377,-0.00126319405355982,0.000415876378593081,0.00145789811461569,0.000572819275163682,0.000701437896908273,0.000977662596674173,-0.00042080723505758,0.000667123243475481,-0.000219359679304178,0.000442531732581325,-0.000562225740666021,-0.00133240129342425,-0.00154886137526048,0.0013545349525152,0.0025643057816297,-0.00107574437977228,-0.00345141799953365,0.000953752825240715,-0.000782827131841985,-0.00145841185022326,-0.00100744773647445,0.000403425578397048,-0.000617237863037252,0.000894973260587066,-0.000146917164434653,-0.00261531815447459,-0.00198640188125762,-0.00125447081415425,-0.000641759092735599,-0.000421732770690238,-0.00133218432567317,0.000526719845319733,0.00074916842669126,-0.00338611983503417,-0.000997243631745942,-0.000506439687959954
"10",-0.00179567518007593,-0.00311425965989118,-0.000929697990649875,-0.00195045770225449,0.00111081388260046,0.00141195395719896,-0.00266118780960484,-0.00103565405088988,0.00206423829706929,NA,-0.000376578284903159,-0.00147822434835927,-0.00314541899815872,0.00381582466312707,-0.00169766883067301,0.00386596060605847,0.000788744506252711,-0.000203454705752372,0.00300902045065144,0.00423742141357763,-0.000366745512398861,-0.00387046186245163,-0.000133104743752372,-0.00179434011142398,-0.0028100729079729,0.00135630511697418,-0.000171248327833761,0.000561420665584262,2.04358724920292e-05,0.000802373399381819,4.57325385197381e-05,-0.00057015179115516,-0.000846539381939976,-0.00192921548592471,-0.00131290418453005,-0.000241043260066806,-0.00268315094664733,-0.0017887995250063,0.00169930093780713,0.0012072080976133,0.00103642344553935,-0.0013474092715626,0.0039635348015361,0.000121542856638404,0.0027132333114582,-0.00315073327689566,-0.00174953669145111,0.00209210244311097,0.000640371720081153,0.00198233665008532,-0.0018588576313795,0.000308833335543223,0.00117856773968692,0.00155134866853814,-0.0015816779399742,-0.00276144377307798,0.00195948475817698,0.00215037027690998,0.00126014914543554,0.00219538308629065,-0.00109358676243253,0.00180365334358649,-0.000510921959523781,0.000646659327309302,-0.00362512308355537,0.000686213538922165,0.000243967134960416,-0.00118339251997301,0.00335305671164963,0.00017720658895003,-0.00261829157692367,0.00114841812098948,-0.00160270083656281,-0.00393453844223554,0.00110186502951293,-0.000858235342705932,-0.000174983148766992,-0.00131576753875234,-0.00252500064011285,-0.00288776366151541,0.000480695965567723,-0.0014214077722392,0.000615378344463711,-0.00574379120261973,0.000786738201273524,0.000888781724309971,0.00192467930602123,-0.00180229196612966,-0.00297968301314895,-0.00271356912314662
